model	series	phaseIn	voltageIn	phaseOut	voltageOut	motorKW	ratedCurrentA	capacityKVA	successors	srcModel	srcSpec	note
FR-E710W-0.1K	FR-E700	1	100	3	200	0.1			FR-E810W-0.1K-1	BCN-C21002-214C		
FR-E710W-0.2K	FR-E700	1	100	3	200	0.2			FR-E810W-0.2K-1	BCN-C21002-214C		
FR-E710W-0.4K	FR-E700	1	100	3	200	0.4			FR-E810W-0.4K-1	BCN-C21002-214C		
FR-E710W-0.75K	FR-E700	1	100	3	200	0.75			FR-E810W-0.75K-1	BCN-C21002-214C		
