model	series	phaseIn	voltageIn	phaseOut	voltageOut	motorKW	ratedCurrentA	capacityKVA	successors	srcModel	srcSpec	note
FR-E740-0.4K	FR-E700	3	400	3	400	0.4			FR-E840-0.4K-1	BCN-C21002-214C		置換えに FR-E7AT02 が必要
FR-E740-0.75K	FR-E700	3	400	3	400	0.75			FR-E840-0.75K-1	BCN-C21002-214C		置換えに FR-E7AT02 が必要
FR-E740-1.5K	FR-E700	3	400	3	400	1.5			FR-E840-1.5K-1	BCN-C21002-214C		置換えに FR-E7AT02 が必要
FR-E740-2.2K	FR-E700	3	400	3	400	2.2			FR-E840-2.2K-1	BCN-C21002-214C		
FR-E740-3.7K	FR-E700	3	400	3	400	3.7			FR-E840-3.7K-1	BCN-C21002-214C		
FR-E740-5.5K	FR-E700	3	400	3	400	5.5			FR-E840-5.5K-1	BCN-C21002-214C		
FR-E740-7.5K	FR-E700	3	400	3	400	7.5			FR-E840-7.5K-1	BCN-C21002-214C		
FR-E740-11K	FR-E700	3	400	3	400	11			FR-E840-11K-1	BCN-C21002-214C		
FR-E740-15K	FR-E700	3	400	3	400	15			FR-E840-15K-1	BCN-C21002-214C		
