model	series	phaseIn	voltageIn	phaseOut	voltageOut	motorKW	ratedCurrentA	capacityKVA	successors	srcModel	srcSpec	note
FR-E720S-0.1K	FR-E700	1	200	3	200	0.1			FR-E820S-0.1K-1	BCN-C21002-214C		
FR-E720S-0.2K	FR-E700	1	200	3	200	0.2			FR-E820S-0.2K-1	BCN-C21002-214C		
FR-E720S-0.4K	FR-E700	1	200	3	200	0.4			FR-E820S-0.4K-1	BCN-C21002-214C		
FR-E720S-0.75K	FR-E700	1	200	3	200	0.75			FR-E820S-0.75K-1	BCN-C21002-214C		
FR-E720S-1.5K	FR-E700	1	200	3	200	1.5			FR-E820S-1.5K-1	BCN-C21002-214C		
FR-E720S-2.2K	FR-E700	1	200	3	200	2.2			FR-E820S-2.2K-1	BCN-C21002-214C		置換えに FR-E8AT04 が必要
